CW,String,Dominance Score,Alternative Dominance Score from Armstrong et al. (2012) EDOM,Similarity Norming Category,Zeugmatic Similarity Norming Sentence,Anaphora,Similarity Mean,Similarity STDEV,Similarity SEM
AMAZON,AMAZON,0.57,,H,Adventurers trekked the Amazon and online retailers sold products there.,there,1.48,1.02,0.11
ARMS,ARMS,0.75,,H,The weary soldiers lay down their arms and my brothers got tattoos on theirs.,theirs,2.42,1.87,0.2
BAND,BAND,0.73,,H,The teenagers formed a band and the married man wore one.,one,1.58,1.04,0.11
BARK,BARK,0.26,,H,The trees had a rough bark and the poodle had a loud one.,one,1.31,0.82,0.09
BASS,BASS,0.69,,H,The fisherman caught the bass and the musician played one.,one,1.34,0.79,0.08
BAT,BAT,0.51,,H,The player swung a bat and the vampire was bit by one.,one,1.6,1.36,0.15
BATTER,BATTER,0.66,,H,The catcher tagged the batter and the baker mixed some.,some,1.34,0.93,0.1
BILL,BILLS,0.28,,H,There are two Bills in my class and some in my wallet.,some,1.63,1.24,0.13
BLUFF,BLUFF,0.68,,H,The poker player called the bluff and the weapons were positioned on one.,one,1.58,0.85,0.09
BOND,BOND,0.42,,H,Super Glue creates a bond and Sean Connery played him in the movies.,him,1.41,0.87,0.09
BOW,BOW,0.05,,H,The archer shot the bow and the kindergartner practiced tying one.,one,1.69,1.1,0.12
BOWLER,BOWLER,0.78,,H,My uncle was a bowler and the English gentleman wore one.,one,1.63,1.18,0.13
BRUSH,BRUSH,Not normed,0.51,H,The hikers got lost in the brush and I detangled my hair with one.,one,1.65,1.15,0.12
BUCK,BUCK,Not normed,0.54,H,The customer paid a buck and the hunter shot one.,one,1.31,0.7,0.07
BUD,BUD,0.56,,H,The flower sprouted a bud and the drunk dude drank one.,one,1.26,0.63,0.07
CALF,CALF,0.33,,H,The goalie kicked my calf and the cow birthed one.,one,1.32,0.7,0.08
CASE,CASE,0.35,,H,The lawyer appealed a case and the wine connoisseur bought one.,one,1.5,0.92,0.1
COLON,COLON,0.64,,H,The cancer spread to the colon and the grammar editor added one.,one,1.28,0.69,0.07
CORN,CORN,0.29,,H,*The foot doctor examined my corn and the farmer picked some.,some,1.5,1.16,0.12
COUNT,COUNT,0.57,,H,The Englishman bowed to the count and the election board tallied it.,it,1.76,1.22,0.13
COUNTER,COUNTER,0.56,,H,The realtor responded to the counter and the clerk leaned on one.,one,1.88,1.38,0.15
CRAB,CRAB,Not normed,0.52,H,My grumpy sister was a crab and the fisherman netted one.,one,2.35,1.33,0.14
CRICKET,CRICKET,0.64,,H,The Brits played cricket and the bug collector caught one.,one,1.44,0.87,0.09
CUE,CUE,0.7,,H,The pool player grabbed a cue and the stage actor waited for hers.,hers,1.66,1,0.11
FAN,FANS,0.67,,H,The store was cooled by fans and the rockstar was pestered by them.,them,1.82,1.41,0.15
GAG,GAG,0.69,,H,"The prank was a gag and the kidnapper's handkerchief was one, too.",one,2.05,1.45,0.15
GLARE,GLARE,0.5,,H,The oncoming headlights caused a glare and my brother shot me one.,one,2.24,1.31,0.14
LAP,LAPS,0.56,,H,The children sat on our laps and the runners ran several of them.,them,1.42,1.05,0.11
LEAD,LEAD,0.22,,H,The fast runner took the lead and the one in the pencil broke.,one,1.31,0.75,0.08
LEAN,LEAN,0.42,,H,The dieter ate only lean and the engineers corrected the one in the structure.,one,1.31,0.81,0.09
LIMBO,LIMBO,Not normed,0.67,H,Indecision left the businessman in limbo and the kids on skates danced one.,one,1.94,1.34,0.14
MARCH,MARCH,0.52,,H,His birthday was in March and the protestors attended one.,one,1.38,0.82,0.09
MASS,MASS,0.69,,H,Priests performed the mass and scientists quantified it.,it,1.51,1.09,0.12
MATCH,MATCH,0.13,,H,The smoker lit a match and the soccer team played one.,one,1.42,0.99,0.11
METER,METER,Not normed,0.36,H,The distance was a meter and we put some coins in one.,one,1.7,1.41,0.15
MINE,MINE,0.11,,H,The book was mine and the coal worker dug in one.,one,1.22,0.6,0.06
MINT,MINT,*0.96,0.52,H,Most coins are produced at the mint and tea is flavored with it.,it,1.47,1.12,0.12
MISS,MISS,0.18,,H,Every basketball shot was a miss and the young lady was one.,one,1.41,0.93,0.1
MOLD,MOLD,0.79,,H,Mildew spray removed the mold and concrete was poured into one.,one,1.69,1.28,0.14
MOLE,MOLE,0.12,,H,The dermatologist discovered a mole and the gardener trapped one.,one,1.45,0.91,0.1
MUSTANG,MUSTANG,0.46,,H,The auto dealer sold a Mustang and the horse rancher tamed one.,one,2.01,1.2,0.13
NET,NET,Not normed,0.57,H,The accountant calculated the net and the tightrope walker worked without one.,one,1.47,0.87,0.09
NIRVANA,NIRVANA,0.16,,H,The yogi reached a state of Nirvana and the guitarist was a fan of them.,them,2.03,1.19,0.13
PALM,PALMS,0.15,,H,The landscape crew trimmed the palms and the fortune teller read ours.,ours,1.52,1.23,0.13
PIT,PIT,*0.80,0.61,H,He gnawed the plum to the pit and threw some charcoal in one.,one,1.67,1.12,0.12
PITCH,PITCH,0.18,,H,The batter swung at the pitch and the musicians tried matching it.,it,1.49,0.99,0.11
